EmpNo,Attrition,JobRole,Department,DistanceFromHome,Education,EducationField,Age,Gender,YearsAtCompany,YearsInCurrentRole,Years Since Last Promotion,Years CurrManager,Monthly Income,EnvironmentSatisfaction,JobLevel,Job Satisfaction,Marital Status,Num Companies Worked,Over Time,Performance Rating,Relationship Satisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,,,,,,,,
1556,No,Sales Representative,Sales,2,Master's,Life Sciences,36,Male,3,2,1,2,2644,3,1,4,Single,3,Yes,4,4,0,7,3,2,1,,,,,,,
1557,No,Sales Executive,Sales,16,Master's,Life Sciences,48,Female,8,7,7,7,6439,3,2,3,Divorced,8,No,3,3,1,18,2,3,,,,,,,,
1558,No,Research Scientist,Research & Development,9,Bachelor's,Life Sciences,29,Male,1,0,0,0,2451,3,1,3,Married,6,No,3,1,2,5,2,2,,,,,,,,
1560,No,Sales Executive,Sales,8,Master's,Life Sciences,33,Male,2,2,2,2,6392,1,2,1,Married,2,No,3,4,1,8,6,1,,,,,,,,
1562,Yes,Sales Executive,Sales,1,Bachelor's,Life Sciences,30,Male,10,8,6,7,9714,2,2,1,Married,1,No,3,4,1,10,4,3,,,,,,,,
1563,No,Human Resources,Human Resources,10,Master's,Human Resources,38,Male,6,3,1,2,6077,3,2,3,Married,3,No,3,3,0,10,2,3,,,,,,,,
1564,No,Laboratory Technician,Research & Development,1,Bachelor's,Medical,35,Male,3,0,1,2,2450,4,1,1,Single,1,No,3,2,0,3,3,3,,,,,,,,
1568,No,Sales Executive,Sales,29,Master's,Technical Degree,30,Male,4,2,1,3,9250,3,3,2,Married,3,No,3,2,1,9,3,3,,,,,,,,
1569,Yes,Laboratory Technician,Research & Development,2,Bachelor's,Life Sciences,35,Female,1,0,0,0,2074,1,1,1,Divorced,1,Yes,3,4,1,1,2,3,,,,,,,,
1572,Yes,Manufacturing Director,Research & Development,2,Doctorate,Technical Degree,53,Female,33,7,1,9,10169,3,3,4,Married,0,No,3,2,1,34,4,3,,,,,,,,
1573,Yes,Manufacturing Director,Research & Development,2,Bachelor's,Medical,38,Male,5,2,1,4,4855,3,2,2,Married,4,No,3,1,2,7,2,3,,,,,,,,
1574,No,Research Scientist,Research & Development,1,Master's,Technical Degree,32,Male,6,5,1,2,4087,4,2,1,Married,4,No,3,2,1,9,3,2,,,,,,,,
1576,No,Research Scientist,Research & Development,15,Master's,Other,48,Female,8,2,7,6,2367,3,1,1,Married,8,No,3,4,1,10,3,2,,,,,,,,
1577,No,Research Scientist,Research & Development,7,Master's,Medical,34,Male,1,0,0,0,2972,1,1,4,Single,1,No,3,3,0,1,4,1,,,,,,,,
1578,No,Manager,Sales,26,Doctorate,Marketing,55,Male,36,6,2,13,19586,3,5,4,Married,1,No,4,3,1,36,3,3,1,,,,,,,
1580,No,Research Scientist,Research & Development,1,Master's,Life Sciences,34,Male,2,2,2,1,5484,2,2,4,Married,9,No,3,2,1,9,3,2,,,,,,,,
1581,No,Research Scientist,Research & Development,3,Bachelor's,Life Sciences,26,Female,1,0,0,0,2061,1,1,4,Married,1,No,4,1,0,1,5,3,1,,,,,,,
1582,No,Sales Executive,Sales,14,Bachelor's,Life Sciences,38,Male,9,8,7,7,9924,3,2,2,Married,0,No,3,4,1,10,3,3,,,,,,,,
1583,No,Sales Executive,Sales,16,Bachelor's,Life Sciences,38,Female,3,2,1,2,4198,2,2,2,Single,2,No,3,2,0,8,5,4,,,,,,,,
1585,No,Sales Executive,Sales,1,Master's,Life Sciences,36,Female,1,0,0,0,6815,2,2,3,Single,6,No,3,1,0,15,5,3,,,,,,,,
1586,No,Laboratory Technician,Research & Development,3,High school or below,Medical,29,Male,10,9,1,5,4723,2,1,1,Single,1,Yes,3,4,0,10,3,3,,,,,,,,
1587,No,Healthcare Representative,Research & Development,10,Master's,Medical,35,Female,5,2,0,4,6142,1,2,3,Single,3,Yes,3,3,0,10,4,3,,,,,,,,
1588,No,Sales Executive,Sales,6,Bachelor's,Medical,39,Male,7,6,7,6,8237,4,3,3,Married,2,No,3,1,1,11,3,3,,,,,,,,
1590,No,Healthcare Representative,Research & Development,2,High school or below,Life Sciences,29,Male,6,4,1,3,8853,1,2,4,Divorced,1,No,3,4,1,6,0,4,,,,,,,,
1591,No,Manager,Sales,9,Bachelor's,Marketing,50,Male,1,0,0,0,19331,3,5,3,Married,4,Yes,3,3,1,27,2,3,,,,,,,,
1592,No,Research Scientist,Research & Development,10,Bachelor's,Technical Degree,23,Male,2,2,2,2,2073,4,1,3,Married,2,No,3,4,1,4,2,3,,,,,,,,
1594,No,Laboratory Technician,Research & Development,6,Master's,Life Sciences,36,Male,3,2,0,2,5562,1,2,1,Married,3,Yes,3,4,1,9,3,3,,,,,,,,
1595,No,Manager,Research & Development,9,Some university,Other,42,Male,1,0,0,1,19613,4,5,4,Single,8,No,4,4,0,24,2,3,1,,,,,,,
1596,No,Laboratory Technician,Research & Development,28,Bachelor's,Life Sciences,35,Male,10,9,6,8,3407,2,2,3,Married,1,No,3,4,2,10,3,2,,,,,,,,
1597,No,Healthcare Representative,Research & Development,10,Master's,Technical Degree,34,Male,8,2,7,7,5063,4,2,3,Married,1,No,3,2,1,8,3,2,,,,,,,,
1598,No,Sales Executive,Sales,14,Some university,Life Sciences,40,Female,5,4,1,2,4639,4,2,1,Married,1,No,3,3,1,5,2,3,,,,,,,,
1599,No,Laboratory Technician,Research & Development,27,Bachelor's,Technical Degree,43,Male,6,4,0,2,4876,4,1,2,Divorced,5,No,3,3,1,8,0,3,,,,,,,,
1601,No,Laboratory Technician,Research & Development,7,Some university,Life Sciences,35,Male,1,0,0,1,2690,3,1,4,Married,1,No,3,4,1,1,5,2,,,,,,,,
1602,No,Manager,Sales,1,Master's,Life Sciences,46,Male,26,0,0,12,17567,4,4,1,Single,1,No,3,2,0,27,5,1,,,,,,,,
1604,Yes,Laboratory Technician,Research & Development,24,Bachelor's,Medical,28,Male,1,1,0,0,2408,3,1,2,Married,1,Yes,3,3,3,1,3,3,,,,,,,,
1605,No,Research Scientist,Research & Development,26,Some university,Other,22,Female,4,2,1,3,2814,2,1,3,Married,1,Yes,3,2,0,4,2,2,,,,,,,,
1606,No,Healthcare Representative,Research & Development,20,Doctorate,Medical,50,Male,30,8,12,13,11245,2,4,3,Married,2,Yes,3,3,1,32,3,3,,,,,,,,
1607,No,Research Scientist,Research & Development,5,Master's,Other,32,Female,3,2,0,2,3312,2,1,4,Married,3,No,3,4,2,6,3,3,,,,,,,,
1608,No,Research Director,Research & Development,7,Bachelor's,Medical,44,Female,22,7,1,10,19049,2,5,4,Divorced,0,Yes,3,4,1,23,4,2,,,,,,,,
1609,No,Research Scientist,Research & Development,7,Bachelor's,Medical,30,Male,6,4,1,1,2141,2,1,2,Married,1,No,3,2,1,6,3,2,,,,,,,,
1611,No,Laboratory Technician,Research & Development,5,Doctorate,Medical,45,Female,10,7,1,4,5769,3,2,1,Single,1,Yes,3,1,0,10,3,3,,,,,,,,
1612,No,Sales Executive,Sales,26,Bachelor's,Marketing,45,Male,10,7,4,5,4385,1,2,1,Married,1,No,3,1,1,10,2,3,,,,,,,,
1613,No,Sales Executive,Sales,2,Master's,Other,31,Male,5,2,0,3,5332,4,2,1,Single,7,No,3,4,0,10,3,3,,,,,,,,
1614,No,Manufacturing Director,Research & Development,12,Master's,Life Sciences,36,Female,3,2,1,1,4663,3,2,3,Married,9,Yes,3,2,2,7,2,3,,,,,,,,
1615,No,Manufacturing Director,Research & Development,10,Master's,Life Sciences,34,Male,9,7,7,2,4724,3,2,4,Divorced,1,No,3,1,1,9,3,3,,,,,,,,
1617,No,Laboratory Technician,Research & Development,25,Master's,Life Sciences,49,Female,9,6,1,4,3211,3,1,1,Married,1,No,3,4,1,10,3,2,,,,,,,,
1618,No,Manufacturing Director,Research & Development,10,Doctorate,Medical,39,Male,7,7,7,7,5377,2,2,1,Married,2,No,3,4,3,10,3,3,,,,,,,,
1619,No,Laboratory Technician,Research & Development,19,Bachelor's,Other,27,Male,7,7,0,7,4066,4,1,1,Divorced,1,No,3,1,2,7,3,3,,,,,,,,
1621,No,Research Scientist,Research & Development,18,Doctorate,Life Sciences,35,Male,16,15,1,10,5208,2,2,1,Married,1,No,3,4,0,16,2,3,,,,,,,,
1622,No,Manufacturing Director,Research & Development,27,Bachelor's,Medical,28,Female,5,3,0,0,4877,2,2,1,Divorced,0,No,4,2,1,6,5,2,1,,,,,,,
1623,No,Research Scientist,Research & Development,5,High school or below,Medical,21,Male,2,2,2,2,3117,3,1,4,Single,1,No,3,3,0,3,2,3,,,,,,,,
1624,Yes,Sales Representative,Sales,3,Some university,Medical,18,Female,0,0,0,0,1569,2,1,4,Single,1,Yes,3,3,0,0,2,4,,,,,,,,
1625,No,Manager,Human Resources,26,Master's,Life Sciences,47,Female,5,2,1,0,19658,4,5,3,Married,3,No,3,3,1,27,2,3,,,,,,,,
1627,No,Laboratory Technician,Research & Development,3,Some university,Medical,39,Male,10,8,0,7,3069,3,2,3,Divorced,0,No,3,4,1,11,3,3,,,,,,,,
1628,No,Manufacturing Director,Research & Development,15,Bachelor's,Life Sciences,40,Female,18,15,14,12,10435,1,3,3,Married,1,No,3,4,2,18,2,3,,,,,,,,
1630,No,Healthcare Representative,Research & Development,8,Master's,Life Sciences,35,Female,14,11,2,9,4148,3,2,3,Married,1,No,3,4,1,15,5,3,,,,,,,,
1631,No,Manufacturing Director,Research & Development,19,Bachelor's,Life Sciences,37,Male,4,3,0,2,5768,3,2,3,Married,3,No,3,1,3,9,2,2,,,,,,,,
1633,No,Manufacturing Director,Research & Development,4,Bachelor's,Medical,39,Female,9,2,3,8,5042,1,2,3,Single,0,No,3,4,0,10,2,1,,,,,,,,
1635,No,Manufacturing Director,Research & Development,2,Some university,Other,45,Female,10,7,3,9,5770,4,2,4,Divorced,1,No,3,1,2,10,3,3,,,,,,,,
1638,No,Manufacturing Director,Research & Development,2,Some university,Medical,38,Female,5,4,0,2,7756,4,3,3,Married,3,Yes,3,4,1,10,6,4,,,,,,,,
1639,Yes,Sales Executive,Sales,10,Bachelor's,Medical,35,Male,13,12,6,0,10306,4,3,1,Married,9,No,3,3,0,15,3,3,,,,,,,,
1640,No,Research Scientist,Research & Development,10,Bachelor's,Medical,37,Female,8,4,7,7,3936,2,1,2,Married,1,No,3,1,1,8,2,1,,,,,,,,
1641,No,Manufacturing Director,Research & Development,16,Bachelor's,Life Sciences,40,Female,4,2,3,3,7945,3,3,4,Single,6,Yes,3,4,0,18,2,2,,,,,,,,
1642,No,Human Resources,Human Resources,1,Doctorate,Human Resources,44,Male,10,7,0,2,5743,1,2,4,Married,4,Yes,3,3,0,14,3,3,,,,,,,,
1644,No,Manager,Research & Development,4,Doctorate,Medical,48,Male,2,2,2,2,15202,3,4,4,Married,2,No,4,2,1,23,3,3,1,,,,,,,
1645,Yes,Sales Executive,Sales,15,Some university,Medical,35,Male,2,2,2,2,5440,1,2,4,Divorced,6,Yes,3,4,2,7,2,2,,,,,,,,
1646,No,Research Scientist,Research & Development,2,High school or below,Technical Degree,24,Female,6,3,1,3,3760,1,1,4,Single,1,Yes,3,3,0,6,2,3,,,,,,,,
1647,No,Research Scientist,Research & Development,8,Bachelor's,Medical,27,Female,3,2,0,2,3517,2,1,3,Married,7,No,3,1,0,5,0,3,,,,,,,,
1648,No,Research Scientist,Research & Development,2,Bachelor's,Medical,27,Male,4,2,1,2,2580,4,1,4,Single,2,No,3,3,0,6,0,2,,,,,,,,
1649,Yes,Laboratory Technician,Research & Development,7,Bachelor's,Life Sciences,40,Male,4,2,0,3,2166,1,1,1,Single,3,Yes,3,2,0,10,3,1,,,,,,,,
1650,No,Sales Executive,Sales,10,Bachelor's,Medical,29,Male,5,2,1,4,5869,3,2,3,Single,9,No,3,3,0,8,2,3,,,,,,,,
1651,No,Healthcare Representative,Research & Development,5,Master's,Life Sciences,36,Female,3,2,0,2,8008,2,3,1,Married,4,No,3,3,2,9,6,3,,,,,,,,
1653,No,Manufacturing Director,Research & Development,2,High school or below,Life Sciences,25,Male,7,7,0,7,5206,4,2,3,Divorced,1,No,3,3,2,7,6,3,,,,,,,,
1654,No,Manufacturing Director,Research & Development,12,Bachelor's,Medical,39,Male,5,4,1,0,5295,4,2,2,Married,4,No,4,3,0,7,3,3,1,,,,,,,
1655,No,Research Director,Research & Development,22,Master's,Other,49,Female,4,2,1,2,16413,1,4,2,Married,3,No,3,2,2,27,2,3,,,,,,,,
1656,No,Research Director,Research & Development,17,Doctorate,Life Sciences,50,Female,14,11,1,11,13269,4,3,1,Divorced,5,No,3,3,3,19,3,3,,,,,,,,
1657,No,Sales Representative,Sales,2,Bachelor's,Medical,20,Female,2,2,2,2,2783,3,1,3,Single,1,No,3,1,0,2,3,3,,,,,,,,
1658,No,Research Scientist,Research & Development,3,Bachelor's,Life Sciences,34,Female,11,8,7,9,5433,4,2,2,Divorced,1,No,3,3,1,11,2,3,,,,,,,,
1659,No,Laboratory Technician,Research & Development,7,Bachelor's,Life Sciences,36,Male,4,3,1,3,2013,1,1,2,Single,2,No,3,3,0,15,4,3,,,,,,,,
1661,No,Healthcare Representative,Research & Development,6,High school or below,Life Sciences,49,Female,15,11,2,12,13966,3,4,3,Married,2,Yes,3,2,1,30,3,3,,,,,,,,
1662,No,Manufacturing Director,Research & Development,1,Master's,Medical,36,Female,3,2,1,2,4374,4,2,3,Married,0,No,3,3,0,4,6,3,,,,,,,,
1664,No,Healthcare Representative,Research & Development,3,Some university,Life Sciences,36,Male,5,4,0,4,6842,4,2,1,Divorced,6,No,4,1,1,13,3,3,1,,,,,,,
1665,No,Manager,Research & Development,22,Doctorate,Medical,54,Female,10,8,4,7,17426,2,4,3,Married,3,No,4,3,1,36,6,3,1,,,,,,,
1666,No,Research Director,Research & Development,15,Some university,Life Sciences,43,Male,14,10,6,11,17603,3,4,3,Married,1,No,4,1,1,14,3,3,1,,,,,,,
1667,Yes,Sales Executive,Sales,12,Master's,Other,35,Male,11,9,6,7,4581,4,2,4,Single,3,Yes,4,1,0,13,2,4,1,,,,,,,
1668,No,Research Scientist,Research & Development,1,Bachelor's,Life Sciences,38,Male,13,11,2,9,4735,4,2,4,Married,7,No,3,4,2,19,4,4,,,,,,,,
1669,No,Sales Executive,Sales,5,Bachelor's,Medical,29,Male,10,0,0,9,4187,1,2,2,Divorced,1,Yes,3,2,1,10,3,2,,,,,,,,
1670,No,Sales Executive,Sales,2,Master's,Medical,33,Male,6,2,0,4,5505,4,2,4,Divorced,1,No,3,3,2,6,5,3,,,,,,,,
1671,No,Research Scientist,Research & Development,2,Bachelor's,Medical,32,Male,9,5,1,6,5470,4,2,2,Divorced,0,No,3,3,2,10,4,2,,,,,,,,
1673,No,Sales Executive,Sales,5,Master's,Life Sciences,31,Female,10,0,0,2,5476,1,2,4,Married,1,No,3,1,2,10,2,3,,,,,,,,
1674,No,Laboratory Technician,Research & Development,16,Bachelor's,Medical,49,Female,2,2,2,2,2587,4,1,1,Divorced,4,Yes,3,2,1,17,2,2,,,,,,,,
1675,No,Laboratory Technician,Research & Development,2,Bachelor's,Medical,38,Female,4,3,3,3,2440,4,1,2,Single,1,No,4,2,0,4,3,3,1,,,,,,,
1676,No,Manager,Sales,2,Master's,Life Sciences,47,Female,3,2,1,2,15972,2,4,2,Divorced,6,No,3,3,3,29,2,3,,,,,,,,
1677,No,Manager,Research & Development,1,Bachelor's,Life Sciences,49,Male,8,7,0,0,15379,3,4,3,Single,4,No,3,1,0,23,2,3,,,,,,,,
1678,No,Sales Executive,Sales,23,Some university,Life Sciences,41,Male,2,0,0,2,7082,4,3,3,Single,3,Yes,3,4,0,21,2,3,,,,,,,,
1680,No,Sales Representative,Sales,9,High school or below,Life Sciences,20,Male,2,2,0,2,2728,4,1,1,Single,1,No,3,1,0,2,3,3,,,,,,,,
1681,No,Sales Executive,Sales,16,Bachelor's,Life Sciences,33,Female,6,5,1,2,5368,3,2,4,Divorced,1,Yes,4,3,1,7,2,3,1,,,,,,,
1682,No,Healthcare Representative,Research & Development,26,Master's,Life Sciences,36,Male,3,2,0,2,5347,1,2,3,Married,6,No,3,2,2,10,2,2,,,,,,,,
1683,No,Human Resources,Human Resources,1,Bachelor's,Life Sciences,44,Female,2,2,2,2,3195,3,1,4,Divorced,4,Yes,3,1,3,8,2,3,,,,,,,,
1684,Yes,Laboratory Technician,Research & Development,8,High school or below,Medical,23,Male,5,4,1,2,3989,4,1,3,Single,1,Yes,3,1,0,5,2,3,,,,,,,,
1687,No,Laboratory Technician,Research & Development,4,Some university,Medical,38,Female,0,0,0,0,3306,4,1,3,Married,7,No,3,4,1,7,5,2,,,,,,,,
1689,No,Healthcare Representative,Research & Development,24,Master's,Medical,53,Male,4,3,1,2,7005,2,3,4,Married,3,No,3,3,0,11,2,3,,,,,,,,
1691,Yes,Sales Representative,Sales,7,Some university,Medical,48,Female,9,7,7,7,2655,4,1,3,Married,2,Yes,3,3,2,19,3,3,,,,,,,,
1692,Yes,Laboratory Technician,Research & Development,2,Master's,Life Sciences,32,Male,1,0,0,0,1393,4,1,2,Single,1,No,3,1,0,1,2,3,,,,,,,,
1693,No,Laboratory Technician,Research & Development,7,Bachelor's,Medical,26,Male,7,7,5,7,2570,4,1,4,Single,1,No,4,3,0,7,5,3,1,,,,,,,
1694,No,Research Scientist,Research & Development,22,Bachelor's,Technical Degree,55,Male,4,2,1,2,3537,1,1,2,Divorced,5,No,3,4,1,8,1,3,,,,,,,,
1696,No,Laboratory Technician,Research & Development,5,Some university,Medical,34,Male,15,10,4,13,3986,2,2,4,Married,1,No,3,3,1,15,3,4,,,,,,,,
1697,No,Healthcare Representative,Research & Development,1,Master's,Medical,60,Male,1,0,0,0,10883,3,3,4,Divorced,3,No,4,3,1,19,2,4,1,,,,,,,
1698,No,Laboratory Technician,Research & Development,21,Bachelor's,Medical,33,Male,14,11,2,13,2028,2,1,2,Married,1,No,3,4,3,14,6,3,,,,,,,,
1700,No,Sales Executive,Sales,1,Master's,Medical,37,Male,6,3,1,3,9525,3,2,4,Divorced,1,No,3,3,2,6,2,2,,,,,,,,
1701,No,Research Scientist,Research & Development,19,Bachelor's,Life Sciences,34,Female,10,9,8,7,2929,2,1,4,Married,1,No,3,2,0,10,3,3,,,,,,,,
1702,Yes,Sales Representative,Sales,7,Bachelor's,Life Sciences,23,Male,3,2,0,2,2275,3,1,4,Divorced,1,Yes,4,2,1,3,2,3,1,,,,,,,
1703,No,Healthcare Representative,Research & Development,2,Bachelor's,Life Sciences,44,Female,8,7,6,7,7879,3,3,4,Married,1,Yes,3,2,1,9,2,3,,,,,,,,
1704,No,Research Scientist,Research & Development,2,Master's,Medical,35,Male,5,4,1,4,4930,1,1,4,Single,0,Yes,3,3,0,6,2,4,,,,,,,,
1706,No,Sales Executive,Sales,2,Bachelor's,Medical,43,Male,10,9,8,8,7847,4,2,4,Married,1,Yes,3,1,1,10,3,3,,,,,,,,
1707,No,Research Scientist,Research & Development,9,Bachelor's,Medical,24,Male,5,3,0,4,4401,3,1,3,Married,1,No,3,4,1,5,1,3,,,,,,,,
1708,No,Sales Executive,Sales,6,Bachelor's,Marketing,41,Male,10,8,8,7,9241,4,3,3,Single,1,No,3,2,0,10,3,3,,,,,,,,
1709,No,Laboratory Technician,Research & Development,9,Master's,Medical,29,Female,5,3,1,2,2974,4,1,3,Married,9,No,3,3,1,9,2,3,,,,,,,,
1710,No,Sales Representative,Sales,2,Master's,Life Sciences,36,Female,13,7,6,7,4502,3,2,4,Single,3,No,3,3,0,17,2,2,,,,,,,,
1712,No,Healthcare Representative,Research & Development,1,High school or below,Life Sciences,45,Male,23,15,14,4,10748,3,3,3,Married,3,No,4,4,1,25,3,2,1,,,,,,,
1714,Yes,Human Resources,Human Resources,22,High school or below,Human Resources,24,Male,1,0,0,0,1555,4,1,3,Married,1,No,3,3,1,1,2,3,,,,,,,,
1716,Yes,Sales Executive,Sales,9,Bachelor's,Life Sciences,47,Male,23,5,14,10,12936,3,4,3,Married,7,No,3,3,0,25,3,1,,,,,,,,
1718,No,Laboratory Technician,Research & Development,17,Master's,Medical,26,Male,3,2,0,2,2305,4,1,3,Married,1,No,3,3,3,3,3,4,,,,,,,,
1719,No,Research Director,Research & Development,28,Some university,Technical Degree,45,Female,21,6,8,6,16704,4,4,2,Single,1,No,3,3,0,21,2,3,,,,,,,,
1720,No,Research Scientist,Research & Development,10,Bachelor's,Life Sciences,32,Male,5,2,1,3,3433,1,1,3,Married,6,No,3,1,1,10,3,2,,,,,,,,
1721,No,Laboratory Technician,Research & Development,2,Master's,Life Sciences,31,Male,5,2,0,3,3477,2,1,3,Married,1,No,3,4,1,6,2,4,,,,,,,,
1722,No,Human Resources,Human Resources,4,Bachelor's,Human Resources,41,Male,3,2,1,2,6430,3,2,2,Married,6,No,3,2,1,10,4,3,,,,,,,,
1724,No,Manufacturing Director,Research & Development,8,Some university,Life Sciences,40,Female,1,0,0,0,6516,2,2,1,Married,2,Yes,3,2,1,18,3,3,,,,,,,,
1725,No,Laboratory Technician,Research & Development,29,High school or below,Medical,24,Male,6,2,1,2,3907,2,1,1,Divorced,1,No,3,2,3,6,2,4,,,,,,,,
1727,No,Healthcare Representative,Research & Development,13,Master's,Life Sciences,46,Male,10,7,0,9,5562,3,2,2,Single,6,No,3,4,0,19,3,3,,,,,,,,
1728,No,Manufacturing Director,Research & Development,27,Master's,Life Sciences,35,Male,7,7,0,7,6883,4,2,3,Married,2,No,3,2,1,17,3,3,,,,,,,,
1729,No,Research Scientist,Research & Development,16,High school or below,Life Sciences,30,Male,10,0,0,8,2862,2,1,4,Married,1,No,3,2,1,10,2,2,,,,,,,,
1731,No,Sales Executive,Sales,2,Master's,Marketing,47,Male,1,0,0,0,4978,3,2,2,Married,7,No,3,4,1,4,3,1,,,,,,,,
1732,No,Sales Executive,Sales,2,Bachelor's,Life Sciences,46,Male,10,6,0,3,10368,3,3,4,Divorced,4,Yes,3,2,1,13,5,2,,,,,,,,
1733,Yes,Sales Executive,Sales,13,Doctorate,Marketing,36,Male,2,2,2,2,6134,2,2,1,Divorced,5,Yes,3,2,3,16,3,3,,,,,,,,
1734,Yes,Sales Executive,Sales,1,Some university,Life Sciences,32,Male,0,0,0,0,6735,1,2,2,Single,6,No,3,2,0,10,2,3,,,,,,,,
1735,No,Laboratory Technician,Research & Development,4,High school or below,Medical,23,Female,3,2,1,2,3295,3,1,2,Single,1,No,3,3,0,3,3,1,,,,,,,,
1736,No,Manufacturing Director,Research & Development,24,High school or below,Technical Degree,31,Female,5,4,1,4,5238,4,2,4,Single,2,No,4,4,0,9,3,2,1,,,,,,,
1737,No,Laboratory Technician,Research & Development,1,Bachelor's,Life Sciences,39,Male,9,8,5,8,6472,4,2,4,Married,1,Yes,3,4,1,9,2,3,,,,,,,,
1739,No,Sales Executive,Sales,19,Bachelor's,Life Sciences,32,Male,4,3,0,2,9610,4,3,3,Married,3,No,3,3,1,10,2,1,,,,,,,,
1740,No,Manager,Sales,7,Master's,Medical,40,Male,21,8,12,8,19833,2,5,2,Single,1,No,3,2,0,21,3,2,,,,,,,,
1744,No,Human Resources,Human Resources,4,Bachelor's,Life Sciences,45,Female,5,0,0,3,9756,3,3,3,Married,4,No,4,3,2,9,2,4,1,,,,,,,
1745,No,Research Scientist,Research & Development,2,Master's,Technical Degree,30,Female,9,7,0,7,4968,4,1,1,Single,0,No,3,4,0,10,2,3,,,,,,,,
1746,No,Human Resources,Human Resources,10,Bachelor's,Medical,24,Male,2,2,2,1,2145,1,1,4,Married,0,No,3,4,1,3,2,3,,,,,,,,
1747,Yes,Human Resources,Human Resources,8,Bachelor's,Human Resources,30,Female,4,2,1,2,2180,3,1,4,Divorced,6,No,3,3,1,6,0,2,,,,,,,,
1749,No,Sales Executive,Sales,5,Bachelor's,Technical Degree,31,Male,5,2,0,2,8346,1,2,3,Married,1,No,3,3,1,6,3,3,,,,,,,,
1751,No,Research Scientist,Research & Development,8,Bachelor's,Medical,27,Female,6,2,1,4,3445,3,1,4,Single,1,No,3,3,0,6,5,2,,,,,,,,
1752,Yes,Sales Representative,Sales,9,Bachelor's,Marketing,29,Female,2,2,2,2,2760,2,1,2,Single,1,No,3,3,0,2,3,3,,,,,,,,
1753,No,Healthcare Representative,Research & Development,1,Bachelor's,Life Sciences,29,Male,3,2,0,2,6294,4,2,3,Single,8,Yes,3,4,0,10,5,4,,,,,,,,
1754,No,Sales Executive,Sales,15,Some university,Marketing,30,Male,7,7,1,7,7140,3,3,1,Divorced,2,No,3,1,1,12,2,3,,,,,,,,
1755,No,Research Scientist,Research & Development,2,Master's,Medical,34,Male,5,0,1,2,2932,4,1,4,Married,0,Yes,3,1,3,6,3,3,,,,,,,,
1756,No,Sales Executive,Sales,2,Bachelor's,Marketing,33,Female,11,7,1,7,5147,4,2,2,Single,8,No,3,4,0,13,2,2,,,,,,,,
1757,No,Sales Executive,Sales,11,Master's,Marketing,49,Female,5,1,0,4,4507,4,2,4,Single,3,No,3,3,0,8,1,4,,,,,,,,
1758,Yes,Sales Executive,Sales,16,Bachelor's,Life Sciences,33,Female,0,0,0,0,8564,1,3,1,Single,2,Yes,4,3,0,11,2,2,1,,,,,,,
1760,No,Laboratory Technician,Research & Development,2,Some university,Medical,38,Female,6,1,0,5,2468,3,1,2,Married,4,No,3,2,1,9,4,2,,,,,,,,
1761,Yes,Sales Executive,Sales,16,Master's,Marketing,31,Male,1,0,0,0,8161,1,3,3,Married,2,No,3,1,3,10,2,3,,,,,,,,
1762,No,Research Scientist,Research & Development,4,Bachelor's,Technical Degree,29,Female,1,0,0,0,2109,4,1,1,Divorced,1,No,3,3,1,1,2,3,,,,,,,,
1763,No,Healthcare Representative,Research & Development,16,Bachelor's,Life Sciences,30,Male,7,0,1,7,5294,3,2,3,Married,3,No,3,3,1,10,3,3,,,,,,,,
1764,No,Research Scientist,Research & Development,5,Master's,Technical Degree,32,Male,7,7,0,7,2718,2,1,2,Single,2,No,3,2,0,12,3,3,,,,,,,,
1766,No,Healthcare Representative,Research & Development,18,Bachelor's,Medical,38,Male,1,0,1,0,5811,2,2,4,Married,3,Yes,3,3,1,15,2,3,,,,,,,,
1767,Yes,Research Scientist,Research & Development,17,Bachelor's,Technical Degree,43,Male,1,0,0,0,2437,3,1,3,Married,9,Yes,3,4,1,6,4,3,,,,,,,,
1768,No,Laboratory Technician,Research & Development,12,Bachelor's,Medical,42,Male,5,3,0,4,2766,2,1,2,Divorced,8,No,4,2,3,7,6,2,1,,,,,,,
1770,No,Research Director,Research & Development,2,Bachelor's,Medical,55,Male,1,0,0,0,19038,3,5,1,Married,8,No,3,2,3,34,2,3,,,,,,,,
1771,No,Research Scientist,Research & Development,4,Bachelor's,Technical Degree,33,Male,9,8,1,7,3055,4,2,2,Divorced,5,No,3,4,2,11,2,2,,,,,,,,
1772,No,Laboratory Technician,Research & Development,9,Master's,Life Sciences,41,Male,5,3,0,4,2289,3,1,1,Divorced,1,No,4,2,2,5,2,3,1,,,,,,,
1774,No,Sales Executive,Sales,10,Bachelor's,Life Sciences,34,Male,15,14,0,7,4001,4,2,3,Divorced,1,Yes,3,3,1,15,3,3,,,,,,,,
1775,No,Manufacturing Director,Research & Development,1,Master's,Medical,53,Female,3,2,0,2,12965,1,4,3,Married,4,Yes,4,4,3,27,2,2,1,,,,,,,
1778,No,Human Resources,Human Resources,2,Bachelor's,Life Sciences,43,Male,9,7,1,8,3539,2,1,4,Single,0,No,3,2,0,10,5,3,,,,,,,,
1779,No,Sales Executive,Sales,3,Some university,Life Sciences,34,Female,2,2,2,2,6029,4,2,4,Single,5,No,3,1,0,6,3,3,,,,,,,,
